2026-08-10 14:25:51.275 [main] [34mINFO [0;39m c.s.journalApp.JournalApplication - Starting JournalApplication using Java 17.0.12 on CHIWVDWS2106 with PID 12256 (C:\Users\asin0218\Downloads\journalApp\journalApp\target\classes started by asin0218 in C:\Users\asin0218\Downloads\journalApp\journalApp)
2026-08-10 14:25:51.290 [main] [34mINFO [0;39m c.s.journalApp.JournalApplication - No active profile set, falling back to 1 default profile: "default"
2026-08-10 14:25:53.002 [main] [34mINFO [0;39m o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2026-08-10 14:25:53.190 [main] [34mINFO [0;39m o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 179 ms. Found 3 MongoDB repository interfaces.
2026-08-10 14:25:54.557 [main] [34mINFO [0;39m o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2026-08-10 14:25:54.574 [main] [34mINFO [0;39m o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-08-10 14:25:54.575 [main] [34mINFO [0;39m o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-08-10 14:25:54.576 [main] [34mINFO [0;39m o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2026-08-10 14:25:54.741 [main] [34mINFO [0;39m o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-08-10 14:25:54.742 [main] [34mINFO [0;39m o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3228 ms
2026-08-10 14:25:55.383 [main] [34mINFO [0;39m org.mongodb.driver.cluster - Cluster created with settings {hosts=[127.0.0.1:27017], srvHost=cluster0.qozzmhm.mongodb.net, mode=MULTIPLE, requiredClusterType=REPLICA_SET, serverSelectionTimeout='30000 ms', requiredReplicaSetName='atlas-km0nio-shard-0'}
2026-08-10 14:25:55.442 [cluster-ClusterId{value='6a79921b2fdc0a0dc8baaae7', description='null'}-srv-cluster0.qozzmhm.mongodb.net] [34mINFO [0;39m org.mongodb.driver.cluster - Adding discovered server ac-yvahw3i-shard-00-02.qozzmhm.mongodb.net:27017 to client view of cluster
2026-08-10 14:25:55.543 [cluster-ClusterId{value='6a79921b2fdc0a0dc8baaae7', description='null'}-srv-cluster0.qozzmhm.mongodb.net] [34mINFO [0;39m org.mongodb.driver.cluster - Adding discovered server ac-yvahw3i-shard-00-01.qozzmhm.mongodb.net:27017 to client view of cluster
2026-08-10 14:25:55.546 [cluster-ClusterId{value='6a79921b2fdc0a0dc8baaae7', description='null'}-srv-cluster0.qozzmhm.mongodb.net] [34mINFO [0;39m org.mongodb.driver.cluster - Adding discovered server ac-yvahw3i-shard-00-00.qozzmhm.mongodb.net:27017 to client view of cluster
2026-08-10 14:25:56.730 [main] [34mINFO [0;39m org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@3c88191b from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-yvahw3i-shard-00-02.qozzmhm.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-yvahw3i-shard-00-00.qozzmhm.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-yvahw3i-shard-00-01.qozzmhm.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
2026-08-10 14:25:57.457 [cluster-ClusterId{value='6a79921b2fdc0a0dc8baaae7', description='null'}-ac-yvahw3i-shard-00-00.qozzmhm.mongodb.net:27017] [34mINFO [0;39m org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:162465}] to ac-yvahw3i-shard-00-00.qozzmhm.mongodb.net:27017
2026-08-10 14:25:57.457 [cluster-ClusterId{value='6a79921b2fdc0a0dc8baaae7', description='null'}-ac-yvahw3i-shard-00-01.qozzmhm.mongodb.net:27017] [34mINFO [0;39m org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:166464}] to ac-yvahw3i-shard-00-01.qozzmhm.mongodb.net:27017
2026-08-10 14:25:57.457 [cluster-rtt-ClusterId{value='6a79921b2fdc0a0dc8baaae7', description='null'}-ac-yvahw3i-shard-00-02.qozzmhm.mongodb.net:27017] [34mINFO [0;39m org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:160410}] to ac-yvahw3i-shard-00-02.qozzmhm.mongodb.net:27017
2026-08-10 14:25:57.458 [cluster-rtt-ClusterId{value='6a79921b2fdc0a0dc8baaae7', description='null'}-ac-yvahw3i-shard-00-01.qozzmhm.mongodb.net:27017] [34mINFO [0;39m org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:166464}] to ac-yvahw3i-shard-00-01.qozzmhm.mongodb.net:27017
2026-08-10 14:25:57.458 [cluster-ClusterId{value='6a79921b2fdc0a0dc8baaae7', description='null'}-ac-yvahw3i-shard-00-01.qozzmhm.mongodb.net:27017] [34mINFO [0;39m org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-yvahw3i-shard-00-01.qozzmhm.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=956163100, setName='atlas-km0nio-shard-0', canonicalAddress=ac-yvahw3i-shard-00-01.qozzmhm.mongodb.net:27017, hosts=[ac-yvahw3i-shard-00-01.qozzmhm.mongodb.net:27017, ac-yvahw3i-shard-00-02.qozzmhm.mongodb.net:27017, ac-yvahw3i-shard-00-00.qozzmhm.mongodb.net:27017], passives=[], arbiters=[], primary='ac-yvahw3i-shard-00-01.qozzmhm.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000177, setVersion=372, topologyVersion=TopologyVersion{processId=6a74a60444770f9d83016a53, counter=10}, lastWriteDate=Mon Aug 10 14:25:56 IST 2026, lastUpdateTimeNanos=1562244596578500}
2026-08-10 14:25:57.458 [cluster-ClusterId{value='6a79921b2fdc0a0dc8baaae7', description='null'}-ac-yvahw3i-shard-00-02.qozzmhm.mongodb.net:27017] [34mINFO [0;39m org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:160410}] to ac-yvahw3i-shard-00-02.qozzmhm.mongodb.net:27017
2026-08-10 14:25:57.458 [cluster-ClusterId{value='6a79921b2fdc0a0dc8baaae7', description='null'}-ac-yvahw3i-shard-00-00.qozzmhm.mongodb.net:27017] [34mINFO [0;39m org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-yvahw3i-shard-00-00.qozzmhm.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=958963800, setName='atlas-km0nio-shard-0', canonicalAddress=ac-yvahw3i-shard-00-00.qozzmhm.mongodb.net:27017, hosts=[ac-yvahw3i-shard-00-01.qozzmhm.mongodb.net:27017, ac-yvahw3i-shard-00-02.qozzmhm.mongodb.net:27017, ac-yvahw3i-shard-00-00.qozzmhm.mongodb.net:27017], passives=[], arbiters=[], primary='ac-yvahw3i-shard-00-01.qozzmhm.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=372, topologyVersion=TopologyVersion{processId=6a74a3d0ae065c0921d4c02f, counter=10}, lastWriteDate=Mon Aug 10 14:25:56 IST 2026, lastUpdateTimeNanos=1562244596628800}
2026-08-10 14:25:57.461 [cluster-ClusterId{value='6a79921b2fdc0a0dc8baaae7', description='null'}-ac-yvahw3i-shard-00-02.qozzmhm.mongodb.net:27017] [34mINFO [0;39m org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-yvahw3i-shard-00-02.qozzmhm.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=956371300, setName='atlas-km0nio-shard-0', canonicalAddress=ac-yvahw3i-shard-00-02.qozzmhm.mongodb.net:27017, hosts=[ac-yvahw3i-shard-00-01.qozzmhm.mongodb.net:27017, ac-yvahw3i-shard-00-02.qozzmhm.mongodb.net:27017, ac-yvahw3i-shard-00-00.qozzmhm.mongodb.net:27017], passives=[], arbiters=[], primary='ac-yvahw3i-shard-00-01.qozzmhm.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=372, topologyVersion=TopologyVersion{processId=6a74a8cbccc0ebd4d2d4ab4a, counter=5}, lastWriteDate=Mon Aug 10 14:25:56 IST 2026, lastUpdateTimeNanos=1562244596753000}
2026-08-10 14:25:57.457 [cluster-rtt-ClusterId{value='6a79921b2fdc0a0dc8baaae7', description='null'}-ac-yvahw3i-shard-00-00.qozzmhm.mongodb.net:27017] [34mINFO [0;39m org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:162465}] to ac-yvahw3i-shard-00-00.qozzmhm.mongodb.net:27017
2026-08-10 14:25:57.468 [cluster-ClusterId{value='6a79921b2fdc0a0dc8baaae7', description='null'}-ac-yvahw3i-shard-00-01.qozzmhm.mongodb.net:27017] [34mINFO [0;39m org.mongodb.driver.cluster - Setting max election id to 7fffffff0000000000000177 from replica set primary ac-yvahw3i-shard-00-01.qozzmhm.mongodb.net:27017
2026-08-10 14:25:57.468 [cluster-ClusterId{value='6a79921b2fdc0a0dc8baaae7', description='null'}-ac-yvahw3i-shard-00-01.qozzmhm.mongodb.net:27017] [34mINFO [0;39m org.mongodb.driver.cluster - Setting max set version to 372 from replica set primary ac-yvahw3i-shard-00-01.qozzmhm.mongodb.net:27017
2026-08-10 14:25:57.469 [cluster-ClusterId{value='6a79921b2fdc0a0dc8baaae7', description='null'}-ac-yvahw3i-shard-00-01.qozzmhm.mongodb.net:27017] [34mINFO [0;39m org.mongodb.driver.cluster - Discovered replica set primary ac-yvahw3i-shard-00-01.qozzmhm.mongodb.net:27017
